User_Message,HopeBot_Response
I'm feeling hopelessness today.,"I'm proud of you for reaching out. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling overwhelmed today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling stress today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling loneliness today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling sadness today.,You've survived 100% of your toughest days. You've got this. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling overwhelmed today.,"You've survived 100% of your toughest days. You've got this. Take a short break, even 5 minutes, to reset your mind."
I'm feeling sadness today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,"You're doing your best, and that's enough. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling loneliness today.,I'm proud of you for reaching out. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling fatigue today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling stress today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling sadness today.,Every storm runs out of rain. Brighter days are coming. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling anxiety today.,"You're doing your best, and that's enough. Remember, self-care isn't selfish — it's essential."
I'm feeling anxiety today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anger today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,Every storm runs out of rain. Brighter days are coming. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling motivation today.,"I'm proud of you for reaching out. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anxiety today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling anger today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling anger today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,"I'm proud of you for reaching out. Remember, self-care isn't selfish — it's essential."
I'm feeling fatigue today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling stress today.,"You're doing your best, and that's enough. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anxiety today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anger today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Take a short break, even 5 minutes, to reset your mind."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling anxiety today.,"You're doing your best, and that's enough. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling stress today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling hopelessness today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling anxiety today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling loneliness today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"I'm proud of you for reaching out. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling anger today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling motivation today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling motivation today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling motivation today.,"You're doing your best, and that's enough. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling anger today.,Every storm runs out of rain. Brighter days are coming. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling sadness today.,"You've survived 100% of your toughest days. You've got this. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling hopelessness today.,"I'm proud of you for reaching out. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling motivation today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,"You're doing your best, and that's enough. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling sadness today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling anger today.,"You're doing your best, and that's enough. Take a short break, even 5 minutes, to reset your mind."
I'm feeling anxiety today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,Every storm runs out of rain. Brighter days are coming. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling anxiety today.,"You're stronger than you know, and you've already come so far. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anxiety today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling loneliness today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling hopelessness today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling sadness today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling overwhelmed today.,"You're doing your best, and that's enough. Take a short break, even 5 minutes, to reset your mind."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling fatigue today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling stress today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"I'm proud of you for reaching out. Remember, self-care isn't selfish — it's essential."
I'm feeling stress today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling hopelessness today.,I'm proud of you for reaching out. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling loneliness today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"I'm proud of you for reaching out. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling hopelessness today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling sadness today.,Every storm runs out of rain. Brighter days are coming. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling sadness today.,Every storm runs out of rain. Brighter days are coming. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling sadness today.,"You're doing your best, and that's enough. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling stress today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling overwhelmed today.,You've survived 100% of your toughest days. You've got this. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling anger today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling stress today.,"You're stronger than you know, and you've already come so far. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling overwhelmed today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling motivation today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling anxiety today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling fatigue today.,"I'm proud of you for reaching out. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling loneliness today.,"You're doing your best, and that's enough. Take a short break, even 5 minutes, to reset your mind."
I'm feeling fatigue today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling loneliness today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling hopelessness today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling motivation today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling anger today.,"I'm proud of you for reaching out. Remember, self-care isn't selfish — it's essential."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling loneliness today.,"You're doing your best, and that's enough. Take a short break, even 5 minutes, to reset your mind."
I'm feeling overwhelmed today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling hopelessness today.,"I'm proud of you for reaching out. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling fatigue today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling loneliness today.,"You're stronger than you know, and you've already come so far. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling anger today.,"I'm proud of you for reaching out. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling fatigue today.,"You're doing your best, and that's enough. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling sadness today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling stress today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling anxiety today.,I'm proud of you for reaching out. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling overwhelmed today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling anger today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling loneliness today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anger today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,"You're doing your best, and that's enough. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling hopelessness today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"You're doing your best, and that's enough. Take a short break, even 5 minutes, to reset your mind."
I'm feeling stress today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling stress today.,"You're doing your best, and that's enough. Remember, self-care isn't selfish — it's essential."
I'm feeling hopelessness today.,"Every storm runs out of rain. Brighter days are coming. Remember, self-care isn't selfish — it's essential."
I'm feeling hopelessness today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling motivation today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling anxiety today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling sadness today.,"You've survived 100% of your toughest days. You've got this. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling motivation today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling anxiety today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling sadness today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling anger today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling loneliness today.,"You've survived 100% of your toughest days. You've got this. Remember, self-care isn't selfish — it's essential."
I'm feeling motivation today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling loneliness today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling anger today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling anxiety today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling anxiety today.,"You're doing your best, and that's enough. Consider writing down your thoughts — journaling can bring clarity."
I'm feeling stress today.,"You're doing your best, and that's enough. Remember, self-care isn't selfish — it's essential."
I'm feeling fatigue today.,"I'm proud of you for reaching out. Remember, self-care isn't selfish — it's essential."
I'm feeling stress today.,"You're doing your best, and that's enough. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling sadness today.,"You've survived 100% of your toughest days. You've got this. Take a short break, even 5 minutes, to reset your mind."
I'm feeling overwhelmed today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling sadness today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling hopelessness today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling hopelessness today.,I'm proud of you for reaching out. Consider writing down your thoughts — journaling can bring clarity.
I'm feeling hopelessness today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Take a short break, even 5 minutes, to reset your mind."
I'm feeling overwhelmed today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling fatigue today.,"You're stronger than you know, and you've already come so far. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling sadness today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"You've survived 100% of your toughest days. You've got this. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling overwhelmed today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling motivation today.,"Every storm runs out of rain. Brighter days are coming. Take a short break, even 5 minutes, to reset your mind."
I'm feeling hopelessness today.,"You're doing your best, and that's enough. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling overwhelmed today.,"I'm proud of you for reaching out. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling sadness today.,"You're stronger than you know, and you've already come so far. Remember, self-care isn't selfish — it's essential."
I'm feeling anxiety today.,"I'm proud of you for reaching out. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
I'm feeling motivation today.,"You're doing your best, and that's enough. Take a short break, even 5 minutes, to reset your mind."
I'm feeling fatigue today.,"Every storm runs out of rain. Brighter days are coming. Practice grounding exercises — name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."
I'm feeling fatigue today.,"You've survived 100% of your toughest days. You've got this. Take a short break, even 5 minutes, to reset your mind."
I'm feeling overwhelmed today.,"You're doing your best, and that's enough. Remember, self-care isn't selfish — it's essential."
I'm feeling sadness today.,"I'm proud of you for reaching out. Take a short break, even 5 minutes, to reset your mind."
I'm feeling overwhelmed today.,"You're doing your best, and that's enough. Try focusing on your breath — in for 4 seconds, hold for 4, and out for 4."
